Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
2661,"Jerry’s Favorite Trail Mix: Ernies (M&M Style Candy), Dark Raisins, Spanish Peanuts R&S, Blanched Virginia Peanuts R&S, Cashew Pieces R&S.",,30 lb.,30 ,$4.56,$136.75,,,,,,,,,
2231,"Nut and Snack Mix: Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,25 lb.,25 ,$3.66,$91.45,,,,,,,,,
2671,"Nut House Classic: Blanched Virginia Peanuts R&S, Ernies (M&M Style Candy), Peanut Gems (Peanut M&M Style Candy), Unblanched Almonds R&S, Pecan Halves R&S, Large Cashews R&S.",,30 lb.,30 ,$5.68,$170.40,,,,,,,,,
2311,"Oriental Mix: Blanched Virginia Peanuts R/No, Sesame Sticks, Green Peas R&S, Chili Rice Crackers, Mixed Rice Crackers.",,20 lb.,20 ,$3.40,$68.00,,,,,,,,,
2601,"Peanut Butter Crunch: Mini Peanut Butter Cups, Cashews R&S, Unblanched Almonds R&S, Blanched Virginia Peanuts R&S..",,30 lb.,30 ,$6.81,$204.20,,,,,,,,,
2681,"Peanut Passion: Butter Toffee Peanuts, Boston Baked Beans, French Burnt Peanuts, Blanched Virginia Peanuts R/No.",,30 lb.,30 ,$3.66,$109.80,,,,,,,,,
2141,"Rhino Chow: Cheddar Sesame Sticks, Pepitas (Pumpkin Seeds) R&S, Chili Rice Crackers, Hot and Spicy Peanuts, Hickory Smoked Almonds.",,30 lb.,30 ,$4.30,$128.85,,,,,,,,,
2241,"Rocky Mountain Madness: Sesame Sticks, Mini Pretzel Twists, Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks, Blanched Virginia Peanuts R/No.",,20 lb.,20 ,$4.24,$84.80,,,,,,,,,
2251,Sesame Mix: Assorted Flavor Sesame Sticks.,,20 lb.,20 ,$3.74,$74.80,,,,,,,,,
2151,"Sizzlin’ Sweet: Hot and Spicy Peanuts, Cajun Hot Corn Sticks, Sesame Sticks, Honey Roasted Peanuts, Butter Toffee Peanuts.",,25 lb.,25 ,$4.83,$120.85,,,,,,,,,
2421,"Smok’n Cheddar: Cheddar Sesame Sticks, Mini Pretzel Twists, Cheddar Cheese Goldfish Crackers, Hickory Smoked Almonds.",,20 lb.,20 ,$5.84,$116.75,,,,,,,,,
2271,"Snackens: Breadsticks, Pretzel Rods, Garlic Rye Chips, Sesame Breadsticks.",,10 lb.,10 ,$5.87,$58.65,,,,,,,,,
2761,"Sunburst Fruit & Nut Mix: Banana Chips, Dark Raisins, Diced Papaya & Pineapple, Unblanched Almonds Raw, Walnuts Raw.",,25 lb.,25 ,$4.42,$110.40,,,,,,,,,
2771,"Trail Mix: Dark and Golden Raisins, Sunflower Kernels Raw, Unblanched Almonds Raw, Cashew Pieces Raw, Unsweetened Coconut Ribbon.",,30 lb.,30 ,$4.72,$141.70,,,,,,,,,
2321,"Wasabi Crunch: Corn Chips w/Flax Seeds, Wasabi Green Peas, Soy Nuts R&S, Blanched Virginia Peanuts R&S.",,25 lb.,25 ,$3.52,$87.95,,,,,,,,,
2331,"Wasabi Oriental Mix: Wasabi Green Peas, Sesame Sticks, Blanched Virginia Peanuts R&S, Mixed Rice Crackers.",,20 lb.,20 ,$5.80,$116.00,,,,,,,,,
2511,"Forbidden Fruit: Apples, Cranberries, Apricots, Papaya, Pineapple.",,25 lb.,25 ,$4.52,$112.95,,,,,,,,,
2521,"Mixed Fruit Deluxe: Prunes, Apricots, Peaches, Pears, Apples.",,25 lb.,25 ,$6.89,$172.30,,,,,,,,,
PRETZELS & SALTED SNACKS,,,,,,$0.00,,,,,,,,,
3411,Cheddar Cheese Goldfish Crackers,,12 lb.,12 ,$5.87,$70.40,,,,,,,,,
3511,Corn Chips w/ Flax Seeds- Salted,,32 lb.,32 ,$3.51,$112.35,,,,,,,,,
